operating_system,r,python,julia,matlab,hpc2n,uppmax,lunarc
Windows,X,X,,X,,X,
Windows,X,X,,,,X,
Windows,X,X,,X,,,
Windows,X,X,,,,,
macOS,X,X,,,,,
macOS,,X,,,,,
Windows,X,,,,,,
Windows,,,,X,,,
Linux (Ubuntu),X,X,,,,,
macOS,X,X,,,,X,
Windows,,X,,,,,
Linux (Ubuntu),X,X,,,X,X,
Linux (Ubuntu),,X,X,,,,X
macOS,X,X,,X,,X,
Windows,X,X,,X,,X,
Windows,X,,,,,X,
macOS,,X,X,,,,
Windows,X,X,,,,,
macOS,X,X,X,X,,X,
macOS,X,X,,,,X,
macOS,X,X,,,,X,X
Windows,,X,,X,,,
macOS,X,X,X,X,,,X
macOS,,,,X,,X,
Windows,X,X,X,X,X,X,
macOS,X,X,,,,,
Linux (Ubuntu),,X,,,,,
Windows,,X,,X,,,X
macOS,,X,,,,,X
Windows,,,,X,,,X
Windows,X,X,X,X,,X,
macOS,X,X,,,X,,
Linux (Ubuntu),,X,,,,,
macOS,,X,,,,,
macOS,,X,,X,,,
macOS,X,X,,,,,X
Linux (Ubuntu),X,X,X,X,,,
Windows,,X,,,,,
Windows,X,X,X,X,,,
Windows,X,X,,,,X,
Windows,,X,,X,,,
macOS,X,,,,,,
Windows,,X,,X,,,
Windows,X,X,,,X,X,X
Windows,X,X,X,X,X,X,
Windows,X,X,,,,,
Linux (Ubuntu),,X,,,,,
Windows,X,X,,,,,
Windows,,X,X,X,,,
Linux (other),X,X,X,,,,
Windows,X,,,,,,
Windows,X,,,,,,
macOS,,X,,,,,
Linux (Ubuntu),X,X,,X,X,,
macOS,X,X,X,X,,X,
Linux (Ubuntu),,X,,,X,,
